Data: 24999 trajectories (19999 train, 5000 test)
  Each: torch.Size([24999, 25, 2048])
Model: 21,027,840 (21.0M) params
Test: 5000 trajectories, zero MSE = 0.01697
Epoch   0 | train=0.01447 | test=0.01208 | cos=0.5342 | best=0.01208 | R²=0.2881 | 102s | 0.010ep/s
Epoch   1 | train=0.01124 | test=0.01061 | cos=0.6102 | best=0.01061 | R²=0.3748 | 147s | 0.014ep/s
Epoch   2 | train=0.01002 | test=0.00964 | cos=0.6550 | best=0.00964 | R²=0.4321 | 198s | 0.015ep/s
Epoch   3 | train=0.00914 | test=0.00884 | cos=0.6901 | best=0.00884 | R²=0.4789 | 236s | 0.017ep/s
Epoch   4 | train=0.00838 | test=0.00820 | cos=0.7178 | best=0.00820 | R²=0.5171 | 273s | 0.018ep/s
Epoch   5 | train=0.00779 | test=0.00769 | cos=0.7385 | best=0.00769 | R²=0.5469 | 311s | 0.019ep/s
Epoch   6 | train=0.00739 | test=0.00737 | cos=0.7513 | best=0.00737 | R²=0.5657 | 349s | 0.020ep/s
Epoch   7 | train=0.00711 | test=0.00716 | cos=0.7596 | best=0.00716 | R²=0.5781 | 388s | 0.021ep/s
Epoch   8 | train=0.00692 | test=0.00701 | cos=0.7655 | best=0.00701 | R²=0.5869 | 428s | 0.021ep/s
Epoch   9 | train=0.00679 | test=0.00690 | cos=0.7697 | best=0.00690 | R²=0.5932 | 469s | 0.021ep/s
Epoch  10 | train=0.00669 | test=0.00683 | cos=0.7727 | best=0.00683 | R²=0.5978 | 510s | 0.022ep/s
Epoch  11 | train=0.00661 | test=0.00678 | cos=0.7747 | best=0.00678 | R²=0.6007 | 551s | 0.022ep/s
Epoch  12 | train=0.00654 | test=0.00672 | cos=0.7767 | best=0.00672 | R²=0.6040 | 593s | 0.022ep/s
Epoch  13 | train=0.00649 | test=0.00668 | cos=0.7783 | best=0.00668 | R²=0.6064 | 635s | 0.022ep/s
Epoch  14 | train=0.00645 | test=0.00666 | cos=0.7791 | best=0.00666 | R²=0.6077 | 676s | 0.022ep/s
Epoch  15 | train=0.00641 | test=0.00663 | cos=0.7801 | best=0.00663 | R²=0.6093 | 718s | 0.022ep/s
Epoch  16 | train=0.00638 | test=0.00661 | cos=0.7810 | best=0.00661 | R²=0.6108 | 763s | 0.022ep/s
Epoch  17 | train=0.00635 | test=0.00659 | cos=0.7817 | best=0.00659 | R²=0.6116 | 807s | 0.022ep/s
Epoch  18 | train=0.00633 | test=0.00658 | cos=0.7821 | best=0.00658 | R²=0.6125 | 851s | 0.022ep/s
Epoch  19 | train=0.00630 | test=0.00656 | cos=0.7828 | best=0.00656 | R²=0.6135 | 895s | 0.022ep/s
Epoch  20 | train=0.00628 | test=0.00655 | cos=0.7831 | best=0.00655 | R²=0.6140 | 938s | 0.022ep/s
Epoch  21 | train=0.00627 | test=0.00654 | cos=0.7834 | best=0.00654 | R²=0.6145 | 980s | 0.022ep/s
Epoch  22 | train=0.00625 | test=0.00653 | cos=0.7839 | best=0.00653 | R²=0.6151 | 1022s | 0.023ep/s
Epoch  23 | train=0.00624 | test=0.00652 | cos=0.7842 | best=0.00652 | R²=0.6157 | 1066s | 0.023ep/s
Epoch  24 | train=0.00622 | test=0.00651 | cos=0.7846 | best=0.00651 | R²=0.6162 | 1108s | 0.023ep/s
Epoch  25 | train=0.00621 | test=0.00652 | cos=0.7845 | best=0.00651 | R²=0.6162 | 1154s | 0.023ep/s
Epoch  26 | train=0.00620 | test=0.00651 | cos=0.7848 | best=0.00651 | R²=0.6165 | 1195s | 0.023ep/s
Epoch  27 | train=0.00619 | test=0.00650 | cos=0.7850 | best=0.00650 | R²=0.6170 | 1236s | 0.023ep/s
Epoch  28 | train=0.00618 | test=0.00650 | cos=0.7852 | best=0.00650 | R²=0.6171 | 1277s | 0.023ep/s
Epoch  29 | train=0.00617 | test=0.00649 | cos=0.7855 | best=0.00649 | R²=0.6175 | 1317s | 0.023ep/s
Epoch  30 | train=0.00616 | test=0.00649 | cos=0.7854 | best=0.00649 | R²=0.6175 | 1358s | 0.023ep/s
Epoch  31 | train=0.00615 | test=0.00648 | cos=0.7858 | best=0.00648 | R²=0.6181 | 1399s | 0.023ep/s
Epoch  32 | train=0.00614 | test=0.00648 | cos=0.7860 | best=0.00648 | R²=0.6184 | 1440s | 0.023ep/s
Epoch  33 | train=0.00614 | test=0.00648 | cos=0.7860 | best=0.00648 | R²=0.6185 | 1481s | 0.023ep/s
Epoch  34 | train=0.00613 | test=0.00647 | cos=0.7861 | best=0.00647 | R²=0.6186 | 1523s | 0.023ep/s
Epoch  35 | train=0.00612 | test=0.00647 | cos=0.7861 | best=0.00647 | R²=0.6186 | 1564s | 0.023ep/s
Epoch  36 | train=0.00612 | test=0.00647 | cos=0.7861 | best=0.00647 | R²=0.6187 | 1605s | 0.023ep/s
Epoch  37 | train=0.00611 | test=0.00647 | cos=0.7864 | best=0.00647 | R²=0.6190 | 1646s | 0.023ep/s
